,Tic,Date,Elapsed_Days,Type,Negative,Positive,Uncertainty,Litigious,Constraining,Superfluous,Interesting,Modal,Positiv,Negativ,Pstv,Ngtv,Strong,Weak,Active,Passive,EMOT,Virtue,Vice,Ovrst,Undrst,Role,Need,Goal,Try,Means,Persist,Complet,Fail,Think,Know,Causal,Ought,Perceiv,Compare,EVAL,Solve,ABS
0,AAC,2014-11-12,,10Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,AAC,2015-03-11,119.0,10K,-0.02589504044140689,-0.41413576775683125,0.1547565886607849,0.006004369122049713,-0.10719159605192186,0.0,-0.021719250114311972,0.24477827763496152,0.05132292096088298,-0.038781416169422434,0.03520003195237664,-0.0633309990431935,0.07137603637190892,-0.01866025208043265,0.03180872293870629,0.05472301111674116,-0.18941329536141693,0.14864340930643238,0.03677652104566187,0.08142103714899251,0.16124761520292863,-0.12445586676470133,-0.18292585857971888,0.00610728166770369,0.042029610251615335,0.08506508569822457,0.041235686073954225,-0.04721555297275437,-7.049264920171236,0.6198013076795273,0.24796364583135844,0.30595993201619986,-0.3875373321895633,-0.07381718958477268,-0.6950351795842424,-0.0325181439231339,0.14640272787024855,-0.37205133089889597
3,AAC,2015-05-05,55.0,10Q,-0.3753586800573888,-0.35266884531590403,0.03240357175734143,-0.9688165698378117,-0.7402868554829339,0.0,4.371528618306034,-0.29096638655462204,-0.31433527202538836,0.052812265027301186,-0.3728303565606599,0.11699490968338344,0.03535297716897956,0.156024248630529,0.2520255116954333,-0.09032403632298402,-0.12288662627434055,-0.4713794423074098,0.3306290022526469,-0.11112870607327019,0.3267922998288617,0.27845973120848677,0.29458867709638303,-0.1747383505076502,-0.28236741738057447,-0.05438215656810019,0.3612329542241698,0.36150869522353213,-23.971575893736922,-0.6198013076795273,-0.19295075789670357,-0.3757446455299718,0.8084164124826275,0.4235613499760972,-0.5352814269786138,0.08688491385885899,0.00836211044816948,0.10100699700236615
5,AAC,2015-08-03,90.0,10Q,0.3595974755139353,0.520699226215757,0.4090578723989725,0.44290587173497553,-0.21610214482905077,0.0,-4.1015141415571446,0.05435924369747902,0.001216227079607779,0.20985151287657489,-0.11663381932265793,0.21580221412150058,-0.06370662496591306,0.05992188208086713,-0.3771353712790506,0.01761315603451097,0.09545176875169814,-0.15804029216641569,-0.09343509439535147,0.21315360566592945,-0.06124671991085173,-0.15223567054249243,-0.022903820519893703,0.25014399280657307,0.152245386925549,0.02754451138492109,-0.10146531898442701,0.29061384094421416,0.0,0.0,0.0348887606401993,-0.02427922958899542,-0.5502104488594552,-0.16922855972981776,0.17538660508662673,-0.09371138839049387,-0.07165998223426628,0.2786105191198973
7,AAC,2015-11-10,99.0,10Q,0.10838139119548085,-0.23817029321972916,-0.1653668630936609,0.21407942238267152,0.2543327103671631,0.0,0.04883470072043106,-0.013895268718419729,0.01283200881423574,-0.09415672711774148,0.001679670028743585,-0.0984586193115975,-0.0006336193935581047,0.10621838001915429,0.06635614099429799,-0.039053187218988095,0.09018048985761795,0.06237316526324799,0.023217928587165648,-0.09213408092302178,-0.10754135810309284,0.11264985258555071,-0.07451684438817141,-0.1954298344987122,-0.03672599046096703,0.000983438389703828,-0.042539565908269905,0.2737467476434845,0.0,1.0,-0.025770480273304752,-0.08809797493521088,-0.042539565908270016,-0.03761088364618925,-0.016444250699463647,0.04764714415308724,0.058751850673819606,-0.017305585867529727
9,AAC,2016-03-09,120.0,10K,-0.053200278939436796,0.07983319935691324,-0.10004247261617838,0.027327327327327344,0.45097187219373713,0.0,-0.5183511485762289,0.2972929521161032,0.14127665681851975,-0.056516094919242255,0.12325856000768276,-0.09227300571649544,-0.00772774844122226,-0.0776237695035602,0.11478385206722364,0.1529481469066356,-0.16736178265578583,0.29803993810243057,-0.03794075949629572,-0.0038025167110753433,-0.15266860049332753,-0.08233721334303656,-0.32101345613001964,0.08949564506373475,0.14090090574075942,-0.020420283590656285,-0.04968854263208278,-0.4861244135752718,4.781360189333217,1.1192908832448887,0.11560862520462845,0.41203695495452697,-0.11198661365910612,0.05483575929494133,0.3847079199283149,-0.08741947858627064,-0.004979792072681288,-0.2223922482270415
10,AAC,2016-05-06,58.0,10Q,-0.3233412906157399,-0.2703276699029127,-0.3128556698363891,-0.557640164436281,-0.4457272806787369,0.0,4.396697668542329,-0.2909103972210768,-0.20893018746310588,0.013786972108391415,-0.2169713061500418,0.03157313576816667,0.11047580572116156,0.2890915614717109,0.19229821931695312,-0.14173543217489892,-0.30512797724700924,-0.2911656660356292,0.24854032390250613,-0.012704152851919615,-0.12206002091894808,0.23254189218105814,-0.005919177382768037,0.48558952851212744,-0.21654434271843093,0.06135888013420365,0.40531282164665905,0.12647636515840932,-4.781360189333217,4.011783426130625,-0.1402004910399196,-0.2595849895775033,0.6220914469932094,-0.047285588279204926,-0.4377302174701265,0.0780738687457011,-0.2792642032797169,-0.1486724168848753
12,AAC,2016-08-05,91.0,10Q,0.3128847975372958,0.5650867844862459,0.30425270067003973,0.43019709636821285,0.2539104638619203,0.0,-4.425090644851971,0.2784700550932345,0.010049646724461181,0.06706474554201813,0.031782325034096504,0.08690239273928868,-0.09323809876844358,-0.03264702096505401,-0.3466361978987582,-0.07358801543963767,0.0645154357909844,-0.03630163974899159,-0.12841229617652905,0.06582172695957378,0.09609223737049022,-0.06065045228028221,0.09247358664452165,-0.07485601518779128,-0.08124492212452739,0.08345279392538574,-0.17837065541313013,-0.22826286722973077,1.0620609595967445,-0.6390134243385655,-0.003733550067076541,-0.0808456527800786,-0.41587906761669546,-0.044569900181121724,0.15932192097278342,-0.09209941392870258,0.1251069487174421,0.3587757556838437
14,AAC,2016-11-08,95.0,10Q,-0.07183570671110451,-0.002057251229296009,0.007785845507829459,0.25912195192086496,-0.06944444444444464,0.0,-0.16872028602101063,0.08086164719511024,0.03836342078792532,-0.014748199384474914,0.00656105225241399,-0.01791199771340679,0.0336340411140541,-0.03464097750834316,-0.037867547049664996,0.07695226342334704,-0.044374396739774946,-0.02433097532958628,-0.09392423668558925,0.006365985341775682,-0.004497392091731944,-0.09510162357537144,-0.0015948616232377422,0.05378502895558701,0.17328695601050215,0.019139661993598622,0.14216338194351952,0.11879983420711226,-0.062060959596744514,6.918663758389708,-0.060296779896529595,-0.03134130857936135,-0.061454716101786544,-0.15755256164960174,0.16040034289984684,-0.100887107381738,-0.02260698005152373,0.017010463051769342
16,ABT,2014-11-06,,10Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
