,Word,Negative,Positive,Uncertainty,Litigious,Constraining,Superfluous,Interesting,Modal
2,ABACI,0,0,0,0,0,0,0,0
3,ABACK,0,0,0,0,0,0,0,0
4,ABACUS,0,0,0,0,0,0,0,0
5,ABACUSES,0,0,0,0,0,0,0,0
6,ABAFT,0,0,0,0,0,0,0,0
7,ABALONE,0,0,0,0,0,0,0,0
8,ABALONES,0,0,0,0,0,0,0,0
9,ABANDON,1,0,0,0,0,0,0,0
10,ABANDONED,1,0,0,0,0,0,0,0
11,ABANDONING,1,0,0,0,0,0,0,0
12,ABANDONMENT,1,0,0,0,0,0,0,0
13,ABANDONMENTS,1,0,0,0,0,0,0,0
14,ABANDONS,1,0,0,0,0,0,0,0
15,ABASE,0,0,0,0,0,0,0,0
16,ABASED,0,0,0,0,0,0,0,0
17,ABASEMENT,0,0,0,0,0,0,0,0
18,ABASEMENTS,0,0,0,0,0,0,0,0
19,ABASES,0,0,0,0,0,0,0,0
20,ABASH,0,0,0,0,0,0,0,0
21,ABASHED,0,0,0,0,0,0,0,0
22,ABASHEDLY,0,0,0,0,0,0,0,0
23,ABASHES,0,0,0,0,0,0,0,0
24,ABASHING,0,0,0,0,0,0,0,0
25,ABASHMENT,0,0,0,0,0,0,0,0
26,ABASHMENTS,0,0,0,0,0,0,0,0
27,ABASING,0,0,0,0,0,0,0,0
28,ABATE,0,0,0,0,0,0,0,0
29,ABATED,0,0,0,0,0,0,0,0
30,ABATEMENT,0,0,0,0,0,0,0,0
31,ABATEMENTS,0,0,0,0,0,0,0,0
32,ABATES,0,0,0,0,0,0,0,0
33,ABATING,0,0,0,0,0,0,0,0
34,ABATTOIR,0,0,0,0,0,0,0,0
35,ABATTOIRS,0,0,0,0,0,0,0,0
36,ABBE,0,0,0,0,0,0,0,0
37,ABBES,0,0,0,0,0,0,0,0
38,ABBESS,0,0,0,0,0,0,0,0
39,ABBESSES,0,0,0,0,0,0,0,0
40,ABBEY,0,0,0,0,0,0,0,0
41,ABBEYS,0,0,0,0,0,0,0,0
42,ABBOT,0,0,0,0,0,0,0,0
